Name,Atom Count_Cation,Atom Count_Anion,Volume_Cation,Volume_Anion,Radius_Cation,Radius_Anion,Volume Cation/Volume Anion,Polar Area_Cation,Polar Area_Anion,Polar Area_IonPair,Rotatable Bonds_Cation,Rotatable Bonds_Anion,Rotatable Bond Fraction_Anion,Rotatable Bond Fraction_Cation,H-Bond Acceptors_Anion,H-Bond Acceptors_Cation,H-Bond Donors_Anion,H-Bond Donors_Cation,H-Bond Interactions_Anion,H-Bond Interactions_Cation,Molecular Weight_Cation,Molecular Weight_Anion,Temperature,LogP_Anion,LogP_Cation,Bond Count_Anion,Bond Count_Cation,Asphericity_Cation,Spherocity_Cation,Asphericity_Anion,Spherocity_Anion,Valence Electrons_Cation,Valence Electrons_Anion,Min Partial Charge_Anion,Min Partial Charge_Cation,Max Partial Charge_Cation,Max Partial Charge_Anion,Asphericity Cation_StDev%,Spherocity_Cation_StDev%,Asphericity Anion_StDev%,Spherocity_Anion_StDev%,SMILES_Anion,SMILES_Cation,Mols_Cation,Mols_Anion,Heat_capacity_at_constant_pressure
"['1-Propyl-2-methylpyridinium', 'Bistriflylimide anion']",24,15,148.70688,156.65568,3.29E-10,3.34E-10,0.94925942,3.9,103,106.9,2,1,0.071428571,0.083333333,11,0,0,0,0,0,136.21,280.15,293,0.9542,1.69252,14,24,0.295775071,0.25765307,0.339289976,0.33314104,54,92,-0.756650956,-0.202742217,0.177693087,0.518577958,24.0238734,29.09261322,8.871812634,5.562783403,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCC[N+]1=CC=CC=C1C,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae649f0>,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae8e540>,555
"['1-Propyl-2-methylpyridinium', 'Bistriflylimide anion']",24,15,148.70688,156.65568,3.29E-10,3.34E-10,0.94925942,3.9,103,106.9,2,1,0.071428571,0.083333333,11,0,0,0,0,0,136.21,280.15,328,0.9542,1.69252,14,24,0.295775071,0.25765307,0.339289976,0.33314104,54,92,-0.756650956,-0.202742217,0.177693087,0.518577958,24.0238734,29.09261322,8.871812634,5.562783403,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCC[N+]1=CC=CC=C1C,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae649f0>,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae8e540>,574
"['1-Propyl-2-methylpyridinium', 'Bistriflylimide anion']",24,15,148.70688,156.65568,3.29E-10,3.34E-10,0.94925942,3.9,103,106.9,2,1,0.071428571,0.083333333,11,0,0,0,0,0,136.21,280.15,326,0.9542,1.69252,14,24,0.295775071,0.25765307,0.339289976,0.33314104,54,92,-0.756650956,-0.202742217,0.177693087,0.518577958,24.0238734,29.09261322,8.871812634,5.562783403,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCC[N+]1=CC=CC=C1C,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae649f0>,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae8e540>,572
"['1-Propyl-2-methylpyridinium', 'Bistriflylimide anion']",24,15,148.70688,156.65568,3.29E-10,3.34E-10,0.94925942,3.9,103,106.9,2,1,0.071428571,0.083333333,11,0,0,0,0,0,136.21,280.15,291,0.9542,1.69252,14,24,0.295775071,0.25765307,0.339289976,0.33314104,54,92,-0.756650956,-0.202742217,0.177693087,0.518577958,24.0238734,29.09261322,8.871812634,5.562783403,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCC[N+]1=CC=CC=C1C,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae649f0>,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae8e540>,554
"['1-Propyl-2-methylpyridinium', 'Bistriflylimide anion']",24,15,148.70688,156.65568,3.29E-10,3.34E-10,0.94925942,3.9,103,106.9,2,1,0.071428571,0.083333333,11,0,0,0,0,0,136.21,280.15,321,0.9542,1.69252,14,24,0.295775071,0.25765307,0.339289976,0.33314104,54,92,-0.756650956,-0.202742217,0.177693087,0.518577958,24.0238734,29.09261322,8.871812634,5.562783403,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCC[N+]1=CC=CC=C1C,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae649f0>,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae8e540>,570
"['1-Propyl-2-methylpyridinium', 'Bistriflylimide anion']",24,15,148.70688,156.65568,3.29E-10,3.34E-10,0.94925942,3.9,103,106.9,2,1,0.071428571,0.083333333,11,0,0,0,0,0,136.21,280.15,288,0.9542,1.69252,14,24,0.295775071,0.25765307,0.339289976,0.33314104,54,92,-0.756650956,-0.202742217,0.177693087,0.518577958,24.0238734,29.09261322,8.871812634,5.562783403,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCC[N+]1=CC=CC=C1C,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae649f0>,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae8e540>,552
"['1-Propyl-2-methylpyridinium', 'Bistriflylimide anion']",24,15,148.70688,156.65568,3.29E-10,3.34E-10,0.94925942,3.9,103,106.9,2,1,0.071428571,0.083333333,11,0,0,0,0,0,136.21,280.15,331,0.9542,1.69252,14,24,0.295775071,0.25765307,0.339289976,0.33314104,54,92,-0.756650956,-0.202742217,0.177693087,0.518577958,24.0238734,29.09261322,8.871812634,5.562783403,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCC[N+]1=CC=CC=C1C,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae649f0>,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae8e540>,575
"['1-Propyl-2-methylpyridinium', 'Bistriflylimide anion']",24,15,148.70688,156.65568,3.29E-10,3.34E-10,0.94925942,3.9,103,106.9,2,1,0.071428571,0.083333333,11,0,0,0,0,0,136.21,280.15,278,0.9542,1.69252,14,24,0.295775071,0.25765307,0.339289976,0.33314104,54,92,-0.756650956,-0.202742217,0.177693087,0.518577958,24.0238734,29.09261322,8.871812634,5.562783403,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCC[N+]1=CC=CC=C1C,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae649f0>,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae8e540>,546
"['1-Propyl-2-methylpyridinium', 'Bistriflylimide anion']",24,15,148.70688,156.65568,3.29E-10,3.34E-10,0.94925942,3.9,103,106.9,2,1,0.071428571,0.083333333,11,0,0,0,0,0,136.21,280.15,333,0.9542,1.69252,14,24,0.295775071,0.25765307,0.339289976,0.33314104,54,92,-0.756650956,-0.202742217,0.177693087,0.518577958,24.0238734,29.09261322,8.871812634,5.562783403,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCC[N+]1=CC=CC=C1C,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae649f0>,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae8e540>,576
"['1-Propyl-2-methylpyridinium', 'Bistriflylimide anion']",24,15,148.70688,156.65568,3.29E-10,3.34E-10,0.94925942,3.9,103,106.9,2,1,0.071428571,0.083333333,11,0,0,0,0,0,136.21,280.15,316,0.9542,1.69252,14,24,0.295775071,0.25765307,0.339289976,0.33314104,54,92,-0.756650956,-0.202742217,0.177693087,0.518577958,24.0238734,29.09261322,8.871812634,5.562783403,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCC[N+]1=CC=CC=C1C,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae649f0>,<rdkit.Chem.rdchem.Mol object at 0x7fd59ae8e540>,567
