Name,Atom Count_Cation,Atom Count_Anion,Volume_Cation,Volume_Anion,Radius_Cation,Radius_Anion,Volume Cation/Volume Anion,Polar Area_Cation,Polar Area_Anion,Polar Area_IonPair,Rotatable Bonds_Cation,Rotatable Bonds_Anion,Rotatable Bond Fraction_Anion,Rotatable Bond Fraction_Cation,H-Bond Acceptors_Anion,H-Bond Acceptors_Cation,H-Bond Donors_Anion,H-Bond Donors_Cation,H-Bond Interactions_Anion,H-Bond Interactions_Cation,Molecular Weight_Cation,Molecular Weight_Anion,Temperature,LogP_Anion,LogP_Cation,Bond Count_Anion,Bond Count_Cation,Asphericity_Cation,Spherocity_Cation,Asphericity_Anion,Spherocity_Anion,Valence Electrons_Cation,Valence Electrons_Anion,Min Partial Charge_Anion,Min Partial Charge_Cation,Max Partial Charge_Cation,Max Partial Charge_Anion,Asphericity Cation_StDev%,Spherocity_Cation_StDev%,Asphericity Anion_StDev%,Spherocity_Anion_StDev%,SMILES_Anion,SMILES_Cation,Mols_Cation,Mols_Anion,Melting Temperature
"['1-butyl-1-methylpyrrolidinium', 'tricyanomethanide']",30,7,167.69648,81.77344,3.42E-10,2.69E-10,2.050745083,0,48.6,48.6,3,0,0,0.1,3,0,0,0,0,0,142.26,90.06,,0.19906,2.0269,6,30,0.423880989,0.390698519,0.250000104,1.20E-12,60,32,-0.761575212,-0.326037383,0.092412052,0.148110216,20.05939441,8.605391747,1.03E-07,190.9224561,C(=C(C#N)C#N)=[N-],CCCC[N+]1(CCCC1)C,<rdkit.Chem.rdchem.Mol object at 0x7f881b0b39a0>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36fd10>,266.7
"['(2-Methoxyethyl)trimethylaminium', 'Heptafluoropropyltrifluoroboronanion']",24,14,137.55872,133.47184,3.20E-10,3.17E-10,1.030619792,9.2,0,9.2,3,1,0.076923077,0.130434783,11,1,0,0,0,0,118.2,236.83,,3.2059,0.339,13,23,0.434503379,0.454491339,0.138223289,0.518644986,50,86,-0.445064632,-0.378839051,0.101756698,0.554532239,11.6740964,4.366569781,37.94148564,7.523647882,[B-](C(C(C(F)(F)F)(F)F)(F)F)(F)(F)F,C[N+](C)(C)CCOC,<rdkit.Chem.rdchem.Mol object at 0x7f880d35d0e0>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36fdb0>,296.1
"['1-Propyl-2-methylpyridinium', 'Bistriflylimide anion']",24,15,148.70688,156.65568,3.29E-10,3.34E-10,0.94925942,3.9,103,106.9,2,1,0.071428571,0.083333333,11,0,0,0,0,0,136.21,280.15,,0.9542,1.69252,14,24,0.295775071,0.25765307,0.339289976,0.33314104,54,92,-0.756650956,-0.202742217,0.177693087,0.518577958,24.0238734,29.09261322,8.871812634,5.562783403,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCC[N+]1=CC=CC=C1C,<rdkit.Chem.rdchem.Mol object at 0x7f880d35d1d0>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36fcc0>,289
"['(2-Aminoethyl)Hexylammonium', 'trifluoroacetate']",31,7,172.71008,71.1,3.45E-10,2.57E-10,2.429115049,39.7,40.1,79.8,7,0,0,0.233333333,5,1,0,2,0,10,145.27,113.02,,-0.7014,0.3982,6,30,0.674582981,0.198533231,0.116135149,0.424424397,62,42,-0.541726828,-0.3565079,0.34404452,0.430292217,16.72032956,26.040682,0.000721469,0.000281707,C(=O)(C(F)(F)F)[O-],CCCCCCNCC[NH3+],<rdkit.Chem.rdchem.Mol object at 0x7f880d35d310>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36fef0>,282.1
"['1-ethyl-3-methylimidazolium', 'ethylsulfate']",19,13,117.80448,96.7792,3.04E-10,2.85E-10,1.217249988,8.8,72,80.8,1,2,0.166666667,0.052631579,4,0,1,0,0,0,111.17,126.13,,-0.1743,0.3325,12,19,0.46990524,0.21550037,0.326176579,0.307204195,44,44,-0.263528447,-0.239534146,0.243018699,0.396839261,0.004315927,0.004875214,9.201448497,8.692068027,CCOS(=O)(=O)O,CCN1C=C[N+](=C1)C,<rdkit.Chem.rdchem.Mol object at 0x7f880d35d360>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36ff40>,236.3
"['Methyldipropylaminium', 'trifluoromethanesulfonate']",26,8,144.3136,85.46112,3.25E-10,2.73E-10,1.688646252,4.4,65.6,70,4,0,0,0.16,6,0,0,1,0,6,116.22,149.07,,0.0514,0.3211,7,25,0.389541947,0.309298022,0.124401433,0.666378744,50,50,-0.741154773,-0.337390033,0.3473813,0.485234805,26.67549614,20.57835523,0.002308764,0.000795575,C(F)(F)(F)S(=O)(=O)[O-],CCC[NH+](C)CCC,<rdkit.Chem.rdchem.Mol object at 0x7f880d35d3b0>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36ff90>,290.1
"['1-ethyl-3-methylimidazolium', 'Cyanoiminomethylideneazanide']",19,5,117.80448,58.5632,3.04E-10,2.41E-10,2.011578602,8.8,37.2,46,1,0,0,0.052631579,3,0,0,0,0,0,111.17,66.04,,0.21078,0.3325,4,19,0.46990524,0.21550037,0.668738707,1.03E-13,44,24,-0.421522061,-0.239534146,0.243018699,0.092473943,0.004315927,0.004875214,9.63E-05,222.9281574,C(=[N-])=NC#N,CCN1C=C[N+](=C1)C,<rdkit.Chem.rdchem.Mol object at 0x7f880d35d360>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36fe50>,268.3
"['1-ethyl-3-methylimidazolium', 'Bistriflylimide anion']",19,15,117.80448,156.65568,3.04E-10,3.34E-10,0.751996225,8.8,103,111.8,1,1,0.071428571,0.052631579,11,0,0,0,0,0,111.17,280.15,,0.9542,0.3325,14,19,0.46990524,0.21550037,0.339289976,0.33314104,44,92,-0.756650956,-0.239534146,0.243018699,0.518577958,0.004315927,0.004875214,8.871812634,5.562783403,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CCN1C=C[N+](=C1)C,<rdkit.Chem.rdchem.Mol object at 0x7f880d35d360>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36fcc0>,274.1
"['Ethyl-dimethyl-prop-2-enylazanium', 'Bistriflylimide anion']",24,15,139.35696,156.65568,3.22E-10,3.34E-10,0.889574894,0,103,103,3,1,0.071428571,0.130434783,11,0,0,0,0,0,114.21,280.15,,0.9542,1.2687,14,23,0.20522594,0.527876263,0.339289976,0.33314104,48,92,-0.756650956,-0.325467001,0.097267441,0.518577958,30.61085469,5.399596695,8.871812634,5.562783403,C(F)(F)(F)S(=NS(=O)(=O)C(F)(F)F)(=O)[O-],CC[N+](C)(C)CC=C,<rdkit.Chem.rdchem.Mol object at 0x7f880d35d540>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36fcc0>,284.1
"['Ethyl-dimethyl-prop-2-enylazanium', 'Cyanoiminomethylideneazanide']",24,5,139.35696,58.5632,3.22E-10,2.41E-10,2.379599475,0,37.2,37.2,3,0,0,0.130434783,3,0,0,0,0,0,114.21,66.04,,0.21078,1.2687,4,23,0.20522594,0.527876263,0.668738707,1.03E-13,48,24,-0.421522061,-0.325467001,0.097267441,0.092473943,30.61085469,5.399596695,9.63E-05,222.9281574,C(=[N-])=NC#N,CC[N+](C)(C)CC=C,<rdkit.Chem.rdchem.Mol object at 0x7f880d35d540>,<rdkit.Chem.rdchem.Mol object at 0x7f880d36fe50>,240.2
